route,page_type,index_recommendation,primary_intent,funnel_stage,primary_keyword_theme,location_target,current_title,recommended_title,current_h1,recommended_h1,content_score,conversion_score,action
/compare/best-record-pools,Comparison,index,Commercial investigation,BOFU,Best Record Pools in 2026: DJ-Side and Artist-Side Guide,National,Best Record Pools in 2026: DJ-Side and Artist-Side Guide | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Best Record Pools: How to Choose,OK,7,7,improve (title)
/compare/digiwaxx-vs-groover,Comparison,index,Commercial investigation,BOFU,Digiwaxx vs. Groover: Curator Pitching or DJ Servicing?,National,Digiwaxx vs. Groover: Curator Pitching or DJ Servicing? | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Digiwaxx vs. Groover,OK,6,7,improve (title)
/compare/digiwaxx-vs-playlist-push,Comparison,index,Commercial investigation,BOFU,Digiwaxx vs. Playlist Push: Which Fits Your Record?,National,Digiwaxx vs. Playlist Push: Which Fits Your Record? | Digiwaxx,OK,Digiwaxx vs. Playlist Push,OK,7,7,keep
/compare/digiwaxx-vs-submithub,Comparison,index,Commercial investigation,BOFU,Digiwaxx vs. SubmitHub: Pitching Platform or DJ Network?,National,Digiwaxx vs. SubmitHub: Pitching Platform or DJ Network? | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Digiwaxx vs. SubmitHub,OK,7,7,improve (title)
/funnel,Utility,noindex (correct),None,-,DIGIWAXX | Boost Funnel (Demo),-,DIGIWAXX | Boost Funnel (Demo),OK,,OK,-,-,keep
/goals/get-booked-for-shows,Goal/Intent,index,Commercial,MOFU,How to Get Booked for Shows &amp; Club Appearances,National,How to Get Booked for Shows &amp; Club Appearances | Digiwaxx,OK,How to Get Booked for Shows,OK,7,6,keep
/goals/get-club-plays,Goal/Intent,index,Commercial,MOFU,How to Get Your Song Played in Clubs,National,How to Get Your Song Played in Clubs | Digiwaxx,OK,How to Get Club Plays,OK,7,6,keep
/goals/get-more-fans,Goal/Intent,index,Commercial,MOFU,How to Get More Fans as an Independent Artist,National,How to Get More Fans as an Independent Artist | Digiwaxx,OK,How to Get More Fans as an Artist,OK,7,6,keep
/goals/get-playlist-placement,Goal/Intent,index,Commercial,MOFU,How to Get Playlist Placement (Without Getting Scammed),National,How to Get Playlist Placement (Without Getting Scammed) | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How to Get Playlist Placement,OK,6,6,improve (title)
/goals/get-radio-spins,Goal/Intent,index,Commercial,MOFU,How to Get Radio Spins as an Independent Artist,National,How to Get Radio Spins as an Independent Artist | Digiwaxx,OK,How to Get Radio Spins,OK,7,6,keep
/goals/grow-spotify-listeners,Goal/Intent,index,Commercial,MOFU,How to Grow Your Spotify Monthly Listeners,National,How to Grow Your Spotify Monthly Listeners | Digiwaxx,OK,How to Grow Spotify Monthly Listeners,OK,7,6,keep
/guides/best-day-to-release-music,Guide,index,Informational,TOFU,What Is the Best Day to Release Music?,National,What Is the Best Day to Release Music? | Digiwaxx,OK,The Best Day to Release Music,OK,7,4,keep
/guides/how-many-songs-should-i-release,Guide,index,Informational,TOFU,How Many Songs Should I Release Per Year? Singles vs. EPs,National,How Many Songs Should I Release Per Year? Singles vs. EPs | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How Many Songs Should You Release?,OK,7,4,improve (title)
/guides/how-to-build-anticipation,Guide,index,Informational,TOFU,How to Build Anticipation for a Music Release,National,How to Build Anticipation for a Music Release | Digiwaxx,OK,How to Build Anticipation Before a Release,OK,6,4,keep
/guides/how-to-get-djs-to-play-my-song,Guide,index,Informational,TOFU,How to Get DJs to Play Your Song (What DJs Actually Want),National,How to Get DJs to Play Your Song (What DJs Actually Want) | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How to Get DJs to Play Your Song,OK,7,4,improve (title)
/guides/how-to-get-more-playlist-adds,Guide,index,Informational,TOFU,"How to Get More Playlist Adds: Editorial, Independent &amp; ",National,"How to Get More Playlist Adds: Editorial, Independent &amp; Algorithmic | Digiwa","Trim below 60 chars, keep primary phrase first",How to Get More Playlist Adds,OK,7,4,improve (title)
/guides/how-to-get-radio-play,Guide,index,Informational,TOFU,How to Get Radio Play as an Independent Artist,National,How to Get Radio Play as an Independent Artist | Digiwaxx,OK,How to Get Radio Play,OK,7,4,keep
/guides/how-to-promote-a-rap-song,Guide,index,Informational,TOFU,"How to Promote a Rap Song: DJs, Clubs, Radio &amp; Playlists",National,"How to Promote a Rap Song: DJs, Clubs, Radio &amp; Playlists | Digiwaxx","Trim below 60 chars, keep primary phrase first",How to Promote a Rap Song,OK,7,4,improve (title)
/guides/how-to-promote-a-single-after-release,Guide,index,Informational,TOFU,How to Promote a Single After It’s Already Out,National,How to Promote a Single After It’s Already Out | Digiwaxx,OK,How to Promote a Single After Release,OK,7,4,keep
/guides/how-to-reach-djs,Guide,index,Informational,TOFU,"How to Reach DJs: Record Pools, Relationships &amp; What Not",National,"How to Reach DJs: Record Pools, Relationships &amp; What Not to Do | Digiwaxx","Trim below 60 chars, keep primary phrase first",How to Reach DJs With Your Music,OK,7,4,improve (title)
/guides/how-to-release-a-single,Guide,index,Informational,TOFU,How to Release a Single: Step-by-Step for Independent Artist,National,How to Release a Single: Step-by-Step for Independent Artists | Digiwaxx,"Trim below 60 chars, keep primary phrase first",How to Release a Single,OK,7,4,improve (title)
/guides/music-marketing-checklist,Guide,index,Informational,TOFU,Music Marketing Checklist: Everything Your Release Needs,National,Music Marketing Checklist: Everything Your Release Needs | Digiwaxx,"Trim below 60 chars, keep primary phrase first",The Music Marketing Checklist,OK,7,4,improve (title)
/guides/music-promotion-for-beginners,Guide,index,Informational,TOFU,Music Promotion for Beginners: Where to Actually Start,National,Music Promotion for Beginners: Where to Actually Start | Digiwaxx,OK,Music Promotion for Beginners,OK,7,4,keep
/guides/my-song-isnt-getting-streams,Guide,index,Informational,TOFU,"My Song Isn't Getting Streams, Here's Why, and What to Do",National,"My Song Isn't Getting Streams, Here's Why, and What to Do | Digiwaxx","Trim below 60 chars, keep primary phrase first",My Song Isn't Getting Streams,OK,7,4,improve (title)
/guides/release-day-checklist-guide,Guide,index,Informational,TOFU,Release Day Checklist: What to Do the Day Your Song Drops,National,Release Day Checklist: What to Do the Day Your Song Drops | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Release Day Checklist,OK,7,4,improve (title)
/guides/song-rollout-timeline,Guide,index,Informational,TOFU,Song Rollout Timeline: 6 Weeks From Master to Momentum,National,Song Rollout Timeline: 6 Weeks From Master to Momentum | Digiwaxx,OK,The Song Rollout Timeline,OK,7,4,keep
/guides/spotify-algorithm-tips,Guide,index,Informational,TOFU,Spotify Algorithm Tips: How to Trigger Release Radar &amp; D,National,Spotify Algorithm Tips: How to Trigger Release Radar &amp; Discover Weekly | Dig,"Trim below 60 chars, keep primary phrase first",Spotify Algorithm Tips That Actually Work,OK,7,4,improve (title)
/guides/why-my-song-stopped-growing,Guide,index,Informational,TOFU,Why My Song Stopped Growing (and How to Restart It),National,Why My Song Stopped Growing (and How to Restart It) | Digiwaxx,OK,Why Your Song Stopped Growing,OK,7,4,keep
/guides/why-nobody-listens-to-my-music,Guide,index,Informational,TOFU,Why Nobody Listens to My Music: The Honest Diagnosis,National,Why Nobody Listens to My Music: The Honest Diagnosis | Digiwaxx,OK,Why Nobody Listens to Your Music (Yet),OK,7,4,keep
/,Homepage/Sales,index,Transactional,BOFU,DIGIWAXX | New Music Boost | Get Your Record to DJs,National,DIGIWAXX | New Music Boost | Get Your Record to DJs,OK,YOUR MUSIC DESERVES A REAL PUSH,OK,7,8,keep
/journey/i-made-a-song,Journey stage,index,Informational,TOFU,"I Made a Song, Now What? The Complete Next Steps",National,"I Made a Song, Now What? The Complete Next Steps | Digiwaxx",OK,"“I Made a Song.”, Now What?",OK,7,4,keep
/journey/i-need-people,Journey stage,index,Informational,TOFU,"Your Record Needs People: DJs, Radio, Curators, Blogs",National,"Your Record Needs People: DJs, Radio, Curators, Blogs | Digiwaxx",OK,"“I Need People.”, Building Your Amplification Network",OK,7,4,keep
/journey/i-released-it,Journey stage,index,Informational,TOFU,"I Released My Song and Nothing Happened, The Fix",National,"I Released My Song and Nothing Happened, The Fix | Digiwaxx",OK,“I Released It… and Nothing Happened.”,OK,7,4,keep
/journey/im-getting-traction,Journey stage,index,Informational,TOFU,"Your Song Is Getting Traction, Convert It: Bookings, Royalti",National,"Your Song Is Getting Traction, Convert It: Bookings, Royalties, Publishing | Dig","Trim below 60 chars, keep primary phrase first","“I’m Getting Traction.”, Converting Momentum Into a Career",OK,7,4,improve (title)
/promote/independent-music-promotion,Service/Audience,index,Commercial,BOFU,"Independent Music Promotion: Label Infrastructure, No Label",National,"Independent Music Promotion: Label Infrastructure, No Label | Digiwaxx","Trim below 60 chars, keep primary phrase first",Independent Music Promotion,OK,6,6,improve (title)
/promote/music-promotion-for-djs,Service/Audience,index,Commercial,BOFU,Music Promotion for DJs,National,Music Promotion for DJs | Digiwaxx,OK,Music Promotion for DJs,OK,6,6,keep
/promote/music-promotion-for-managers,Service/Audience,index,Commercial,BOFU,Music Promotion for Managers,National,Music Promotion for Managers | Digiwaxx,OK,Music Promotion for Managers,OK,6,6,keep
/promote/music-promotion-for-producers,Service/Audience,index,Commercial,BOFU,Music Promotion for Producers,National,Music Promotion for Producers | Digiwaxx,OK,Music Promotion for Producers,OK,6,6,keep
/promote/music-promotion-for-record-labels,Service/Audience,index,Commercial,BOFU,Music Promotion for Record Labels,National,Music Promotion for Record Labels | Digiwaxx,OK,Music Promotion for Record Labels,OK,6,6,keep
/promote/music-promotion-service,Service/Audience,index,Commercial,BOFU,"Music Promotion Service: DJs, Radio, Playlists, Since 1998",National,"Music Promotion Service: DJs, Radio, Playlists, Since 1998 | Digiwaxx","Trim below 60 chars, keep primary phrase first",Music Promotion Service,OK,6,6,improve (title)
/promote/promote-my-album,Service/Audience,index,Commercial,BOFU,"Promote My Album: DJ, Radio &amp; Playlist Campaign",National,"Promote My Album: DJ, Radio &amp; Playlist Campaign | Digiwaxx",OK,Promote My Album,OK,7,6,keep
/promote/promote-my-ep,Service/Audience,index,Commercial,BOFU,"Promote My EP: DJ, Radio &amp; Playlist Campaign",National,"Promote My EP: DJ, Radio &amp; Playlist Campaign | Digiwaxx",OK,Promote My EP,OK,7,6,keep
/promote/promote-my-mixtape,Service/Audience,index,Commercial,BOFU,"Promote My Mixtape: DJ, Radio &amp; Playlist Campaign",National,"Promote My Mixtape: DJ, Radio &amp; Playlist Campaign | Digiwaxx",OK,Promote My Mixtape,OK,7,6,keep
/promote/promote-my-single,Service/Audience,index,Commercial,BOFU,"Promote My Single: DJ, Radio &amp; Playlist Campaign",National,"Promote My Single: DJ, Radio &amp; Playlist Campaign | Digiwaxx",OK,Promote My Single,OK,7,6,keep
/promotion/afrobeats-promotion-atlanta,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Afrobeats Promotion in Atlanta: DJs, Clubs &amp; Radio",Atlanta,"Afrobeats Promotion in Atlanta: DJs, Clubs &amp; Radio | Digiwaxx",OK,Afrobeats Promotion in Atlanta,OK,7,6,keep
/promotion/afrobeats-promotion-dmv,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Afrobeats Promotion in the DMV: DJs, Clubs &amp; Radio",Dmv,"Afrobeats Promotion in the DMV: DJs, Clubs &amp; Radio | Digiwaxx",OK,Afrobeats Promotion in the DMV,OK,7,6,keep
/promotion/afrobeats-promotion-houston,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Afrobeats Promotion in Houston: DJs, Clubs &amp; Radio",Houston,"Afrobeats Promotion in Houston: DJs, Clubs &amp; Radio | Digiwaxx",OK,Afrobeats Promotion in Houston,OK,7,6,keep
/promotion/afrobeats-promotion-new-york,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Afrobeats Promotion in New York: DJs, Clubs &amp; Radio",New York,"Afrobeats Promotion in New York: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Afrobeats Promotion in New York,OK,7,6,improve (title)
/promotion/afrobeats-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Afrobeats Promotion: How Afrobeats Records Actually Break,National,Afrobeats Promotion: How Afrobeats Records Actually Break | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Afrobeats Promotion,OK,7,6,improve (title)
/promotion/apple-music-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Apple Music Promotion: The Independent Artist Playbook,National,Apple Music Promotion: The Independent Artist Playbook | Digiwaxx,OK,Apple Music Promotion,OK,7,6,keep
/promotion/audiomack-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Audiomack Promotion: The Independent Artist Playbook,National,Audiomack Promotion: The Independent Artist Playbook | Digiwaxx,OK,Audiomack Promotion,OK,7,6,keep
/promotion/dancehall-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Dancehall Promotion: How Dancehall Records Actually Break,National,Dancehall Promotion: How Dancehall Records Actually Break | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Dancehall Promotion,OK,7,6,improve (title)
/promotion/drill-promotion-brooklyn,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Drill Music Promotion in Brooklyn: DJs, Clubs &amp; Radio",Brooklyn,"Drill Music Promotion in Brooklyn: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Drill Music Promotion in Brooklyn,OK,7,6,improve (title)
/promotion/drill-promotion-chicago,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Drill Promotion in Chicago: DJs, Clubs &amp; Radio",Chicago,"Drill Promotion in Chicago: DJs, Clubs &amp; Radio | Digiwaxx",OK,Drill Promotion in Chicago,OK,7,6,keep
/promotion/gospel-promotion-atlanta,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Gospel Promotion in Atlanta: DJs, Clubs &amp; Radio",Atlanta,"Gospel Promotion in Atlanta: DJs, Clubs &amp; Radio | Digiwaxx",OK,Gospel Promotion in Atlanta,OK,7,6,keep
/promotion/gospel-promotion-chicago,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Gospel Promotion in Chicago: DJs, Clubs &amp; Radio",Chicago,"Gospel Promotion in Chicago: DJs, Clubs &amp; Radio | Digiwaxx",OK,Gospel Promotion in Chicago,OK,7,6,keep
/promotion/gospel-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Gospel Promotion: How Gospel Records Actually Break,National,Gospel Promotion: How Gospel Records Actually Break | Digiwaxx,OK,Gospel Promotion,OK,7,6,keep
/promotion/hip-hop-promotion-atlanta,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Atlanta: DJs, Clubs &amp; Radio",Atlanta,"Hip Hop Promotion in Atlanta: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Atlanta,OK,7,6,keep
/promotion/hip-hop-promotion-bay-area,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in the Bay Area: DJs, Clubs &amp; Radio",Bay Area,"Hip Hop Promotion in the Bay Area: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Hip Hop Promotion in the Bay Area,OK,7,6,improve (title)
/promotion/hip-hop-promotion-chicago,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Chicago: DJs, Clubs &amp; Radio",Chicago,"Hip Hop Promotion in Chicago: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Chicago,OK,7,6,keep
/promotion/hip-hop-promotion-dallas,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Dallas: DJs, Clubs &amp; Radio",Dallas,"Hip Hop Promotion in Dallas: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Dallas,OK,7,6,keep
/promotion/hip-hop-promotion-detroit,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Detroit: DJs, Clubs &amp; Radio",Detroit,"Hip Hop Promotion in Detroit: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Detroit,OK,7,6,keep
/promotion/hip-hop-promotion-dmv,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in the DMV: DJs, Clubs &amp; Radio",Dmv,"Hip Hop Promotion in the DMV: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in the DMV,OK,7,6,keep
/promotion/hip-hop-promotion-houston,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Houston: DJs, Clubs &amp; Radio",Houston,"Hip Hop Promotion in Houston: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Houston,OK,7,6,keep
/promotion/hip-hop-promotion-los-angeles,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Los Angeles: DJs, Clubs &amp; Radio",Los Angeles,"Hip Hop Promotion in Los Angeles: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Hip Hop Promotion in Los Angeles,OK,7,6,improve (title)
/promotion/hip-hop-promotion-memphis,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Memphis: DJs, Clubs &amp; Radio",Memphis,"Hip Hop Promotion in Memphis: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Memphis,OK,7,6,keep
/promotion/hip-hop-promotion-miami,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Miami: DJs, Clubs &amp; Radio",Miami,"Hip Hop Promotion in Miami: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in Miami,OK,7,6,keep
/promotion/hip-hop-promotion-new-orleans,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in New Orleans: DJs, Clubs &amp; Radio",New Orleans,"Hip Hop Promotion in New Orleans: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Hip Hop Promotion in New Orleans,OK,7,6,improve (title)
/promotion/hip-hop-promotion-new-york,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in New York: DJs, Clubs &amp; Radio",New York,"Hip Hop Promotion in New York: DJs, Clubs &amp; Radio | Digiwaxx",OK,Hip Hop Promotion in New York,OK,7,6,keep
/promotion/hip-hop-promotion-philadelphia,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Hip Hop Promotion in Philadelphia: DJs, Clubs &amp; Radio",Philadelphia,"Hip Hop Promotion in Philadelphia: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Hip Hop Promotion in Philadelphia,OK,7,6,improve (title)
/promotion/hip-hop-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Hip Hop Promotion: How Hip Hop Records Actually Break,National,Hip Hop Promotion: How Hip Hop Records Actually Break | Digiwaxx,OK,Hip Hop Promotion,OK,7,6,keep
/promotion/latin-music-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Latin Music Promotion: How Latin Music Records Actually Brea,National,Latin Music Promotion: How Latin Music Records Actually Break | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Latin Music Promotion,OK,7,6,improve (title)
/promotion/latin-promotion-houston,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Latin Music Promotion in Houston: DJs, Clubs &amp; Radio",Houston,"Latin Music Promotion in Houston: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Latin Music Promotion in Houston,OK,7,6,improve (title)
/promotion/latin-promotion-miami,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Latin Music Promotion in Miami: DJs, Clubs &amp; Radio",Miami,"Latin Music Promotion in Miami: DJs, Clubs &amp; Radio | Digiwaxx",OK,Latin Music Promotion in Miami,OK,7,6,keep
/promotion/music-promotion-atlanta,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Atlanta: DJs, Clubs &amp; Radio",Atlanta,"Music Promotion Atlanta: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Atlanta,OK,7,6,keep
/promotion/music-promotion-baltimore,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Baltimore: DJs, Clubs &amp; Radio",Baltimore,"Music Promotion Baltimore: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Baltimore,OK,7,6,keep
/promotion/music-promotion-charlotte,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Charlotte: DJs, Clubs &amp; Radio",Charlotte,"Music Promotion Charlotte: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Charlotte,OK,7,6,keep
/promotion/music-promotion-chicago,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Chicago: DJs, Clubs &amp; Radio",Chicago,"Music Promotion Chicago: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Chicago,OK,7,6,keep
/promotion/music-promotion-dallas,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Dallas: DJs, Clubs &amp; Radio",Dallas,"Music Promotion Dallas: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Dallas,OK,7,6,keep
/promotion/music-promotion-detroit,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Detroit: DJs, Clubs &amp; Radio",Detroit,"Music Promotion Detroit: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Detroit,OK,7,6,keep
/promotion/music-promotion-houston,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Houston: DJs, Clubs &amp; Radio",Houston,"Music Promotion Houston: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Houston,OK,7,6,keep
/promotion/music-promotion-los-angeles,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Los Angeles: DJs, Clubs &amp; Radio",Los Angeles,"Music Promotion Los Angeles: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Los Angeles,OK,7,6,keep
/promotion/music-promotion-memphis,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Memphis: DJs, Clubs &amp; Radio",Memphis,"Music Promotion Memphis: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Memphis,OK,7,6,keep
